tourist_id,name,address_name,x,y,img_url,area_group,type
1,DMZ 장단콩두부마을,경기도 파주시 탄현면 360,126.6896479,37.78613016,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x107 at 0x7A4E7353C460>,경기도,tourilst
2,한국근현대사박물관,경기도 파주시 탄현면 노을숲길 헤이리 예술마을,126.695182,37.79086743,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x91 at 0x7A4E7353D7E0>,경기도,tourilst
3,사파리체험테마파크,경기도 파주시 탄현면 노을숲길 헤이리 예술마을,126.6963991,37.79086337,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353C280>,경기도,tourilst
4,수도국산 달동네박물관,인천광역시 동구 송현동 송림동 송현터널 수도국산 달동네 박물관,126.6391359,37.47748126,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x91 at 0x7A4E7353D600>,경기도,tourilst
5,인천내리교회,인천광역시 중구 동인천동 내동 개항로53번길 내리교회,126.6288121,37.47375515,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353ED70>,경기도,tourilst
6,부평문화의거리,인천광역시 부평구 부평동 부평문화로,126.7242776,37.49416297,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x121 at 0x7A4E7353E110>,경기도,tourilst
7,인천배다리헌책방거리,인천광역시 동구 금창동 배다리 헌책방거리 금곡로,126.6364058,37.4725588,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x103 at 0x7A4E7353E0B0>,경기도,tourilst
8,인천개항장 근대건축전시관,인천광역시 중구 신포동 관동1가 제물량로218번길 인천개항장근대건축전시관,126.621165,37.47294521,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353C6D0>,경기도,tourilst
9,송월동동화마을,인천광역시 중구 송월동 송월동동화마을 동화마을길,126.6203491,37.47801795,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353DF00>,경기도,tourilst
10,송도한옥마을,인천광역시 연수구 송도4동 테크노파크로 180,126.6388695,37.39086441,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x116 at 0x7A4E7353C400>,경기도,tourilst
11,월미전통정원,인천광역시 중구 북성동 북성동1가 내항로 한국전통정원,126.6057526,37.47411655,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x91 at 0x7A4E7353C4F0>,경기도,tourilst
12,신포국제시장,인천광역시 중구 신포동 신포국제시장 우현로49번길,126.6267206,37.47148884,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x121 at 0x7A4E7353D060>,경기도,tourilst
13,월미산,인천광역시 중구 북성동 월미로,126.6039608,37.47176434,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x121 at 0x7A4E7353D6C0>,경기도,tourilst
14,월미공원 전망대,인천광역시 중구 북성동 월미로,126.6052929,37.4695271,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353F1C0>,경기도,tourilst
15,송도센트럴파크,인천광역시 연수구 송도2동 게일브릿지,126.6386297,37.39306396,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353F4C0>,경기도,tourilst
16,G타워전망대,인천광역시 연수구 송도2동 아트센터대로 175 G타워,126.6342006,37.39608587,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=105x140 at 0x7A4E7353E770>,경기도,tourilst
17,행주산성,경기도 고양시 덕양구 행주동 행주내동 행주로15번길 행주산성,126.8287096,37.59610126,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353F730>,경기도,tourilst
18,미사리조정경기장체육여가공원,경기도 하남시 덕풍3동 미사대로,127.2051733,37.56173743,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x75 at 0x7A4E7353E5C0>,경기도,tourilst
19,쁘띠프랑스,경기도 가평군 고성리 호반로 쁘띠프랑스,127.4905368,37.71499518,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x121 at 0x7A4E7353D3F0>,경기도,tourilst
20,자라섬,경기도 가평군 가평읍,127.5279467,37.81575236,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x121 at 0x7A4E7353CE80>,경기도,tourilst
21,효자로 가을단풍길,강원특별자치도 강릉시 강릉대로,128.8814995,37.7541665,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x103 at 0x7A4E7353D570>,강원도,tourilst
22,무궁화동산,충청남도 계룡시 정장리 계룡대로,127.2353678,36.29917006,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x91 at 0x7A4E7353F6D0>,충청도,tourilst
23,서울숲,서울특별시 성동구 성수1가1동 성수동1가 서울숲 남산길,127.0376178,37.54432223,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353F850>,서울특별시,tourilst
24,서울랜드,경기도 과천시 막계동 광명로 181 서울랜드,127.0187021,37.43390283,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=162x108 at 0x7A4E7353CF70>,경기도,tourilst
25,아트포레스트,서울특별시 종로구 이화동 대학로거리 대학로12길 13 BHC치킨 대학로본점,127.0030885,37.58249439,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=99x140 at 0x7A4E7353F070>,서울특별시,tourilst
